"","alpha","gamma","A","B","b","tau","signum_TF"
"Active_R2_6",0.244973599508281,3.48963908390712,1.80377703961338,3.57584134151528,0.183609609121651,0.365110557510006,1
"Active_Rec_6",0.106826098692862,3.61446937632178,0.730123376036575,1.20559709850211,0.120981467919648,-2,1
"Active_Rec_endo_6",0.104948389206297,1.9343145356734,0.139684554298734,0.109420165663774,0.00187046420920707,-2,1
"Inactive_Rec_6",0.184296254181338,1.28913366642461,10.2018241580659,16.614378778553,0.640911468389743,-2,1
"S2_c_6",0.0358195425626219,0.001,75.6404670277157,75.6404670277157,1268.17598542395,2.75073209205136,-1
"S2_n_6",0.0369622743375516,0.001,24.2098538790682,24.2098538790682,482.059274812712,2.90769014292961,-1
"S4_c_6",0.0360698311711392,0.001,43.3310874842143,43.3310874842143,631.404884737542,2.81085505626803,-1
"S4_n_6",0.721405250923289,0.41156925712611,0,0.62943581511377,159.983214041855,3.89496575392852,-1
"S7_6",0.187295159323138,1.30214231760773,10.0750295351241,16.5482429154239,43.679714939144,-2,-1
"Smad7mRNA_6",0.183575305499489,0.0201397982621528,2.72699562456347e-06,2.54078315397198e-06,0.109505331311583,8.59671228829824,1
"Smad7mRNA1_6",0.243037181788251,0.00320893079406833,0.000207590858498419,0.000138055571159394,0.712466065745711,8.6789828650007,1
"TGFb_6",0.0291430003685912,0.0014075681197634,0.722620760816852,0.722620760816852,99.9917668880676,0.380470342898366,-1
"TGFb_In_6",0.112394320792417,1.6623895524993,0.0292461842671964,0.0111605909181817,0,0.330943282515508,1
"TGFb_R1_endo_6",0.157575716051847,1.97908710427937,6.17477000162622,6.97190318845063,11.0869192853116,0.853241658232631,-1
"TGFb_R1_surface_6",0.91073684737263,3.0937692276542,3.44583199577068,7.84012825166845,5.98073770369384,-2,-1
"TGFb_R2_endo_6",0.0712931743852522,0.079138061505416,13.2542598410393,14.2188106792692,15.5426986646312,-1.78224574091049,-1
"TGFb_R2_surface_6",14.6055829159508,7.52907002296213,1.81490818971769,1.34973442050739,1.95675331800547,-1.99639479551814,-1
"pS2_c_6",0.101883448792942,1.11786663294151,0.147323521840003,0.125345397371879,0.00410585829371728,-2,1
"pS2_n_6",0.0315965772603614,0.001,0.335935155101293,0.335935155101293,0.00369830038524542,1.23414887625581,1
